,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,42.246285458534146,1.049484811175,15.5,6.3672242025,0.6683288332721614,0.6175,0.3282060905074512
topK_30_pos,61.0418834476532,0.23940752559499998,10.0,6.97304713625,0.48726933982570375,0.42,0.5311873922329842
minmax_pos,82.14938204538176,0.1997853685,0.5,8.831108326999999,0.4230701735125668,0.2275,0.44375801155089933
topK_5_pos,85.62233531338852,0.001315955378,4.5,6.605852523000001,0.146071520289365,0.1575,0.8468755088058046
pos_thresh_50,74.60380406096328,0.8394563083365,2.75,8.09993348775,0.36035003269467347,0.3075,0.5788996514625121
topK_50,62.5630607743285,2.3366536825,4.5,9.6839549925,0.5959377724412366,0.4175,0.49919103444016755
pos_thresh_25,52.27724182138669,3.708321568432,10.5,7.44869391975,0.5272038336296574,0.525,0.3980008968383043
bin,37.184365639669416,2.4582648798489997,16.75,5.513788379249999,0.6245853908711075,0.645,0.26275167813391603
minmax,76.07201493239,0.5683406675,1.25,10.1684239225,0.5533615175630863,0.2725,0.33160935669033814
topK_5,95.57971566500001,0.0,0.0,7.4017663355000005,0.07778066531668801,0.0625,0.9488674265401221
topK_30,78.844231555525,0.7024444825,1.75,9.1752691925,0.38343344164558874,0.255,0.6988679978072091
sigmoid,57.186894435625945,1.5954620979999998,3.0,10.374343213749999,0.5584183676624925,0.535,0.023324063199790218
sigmoid_pos,56.20500813419345,1.9969306602,3.5,9.49276927,0.565542320387235,0.5425,0.016902478529122363
pos_thresh_75,89.19546926254999,0.0,0.0,7.443468912749999,0.18259733845347625,0.135,0.7791565349832852
